"UNIT","GEO","TIME","NA_ITEM","Value"
"Current prices, million euro","European Union - 28 countries","1975","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1976","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1977","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1978","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1979","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1980","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1981","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1982","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1983","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1984","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1985","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1986","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1987","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1988","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1989","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1990","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1991","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1992","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1993","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1994","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 28 countries","1995","Gross domestic product at market prices","7.355.460,6"
"Current prices, million euro","European Union - 28 countries","1996","Gross domestic product at market prices","7.743.575,7"
"Current prices, million euro","European Union - 28 countries","1997","Gross domestic product at market prices","8.186.521,8"
"Current prices, million euro","European Union - 28 countries","1998","Gross domestic product at market prices","8.570.917,1"
"Current prices, million euro","European Union - 28 countries","1999","Gross domestic product at market prices","8.992.661,5"
"Current prices, million euro","European Union - 28 countries","2000","Gross domestic product at market prices","9.653.503,9"
"Current prices, million euro","European Union - 28 countries","2001","Gross domestic product at market prices","10.052.021,0"
"Current prices, million euro","European Union - 28 countries","2002","Gross domestic product at market prices","10.416.211,1"
"Current prices, million euro","European Union - 28 countries","2003","Gross domestic product at market prices","10.574.622,2"
"Current prices, million euro","European Union - 28 countries","2004","Gross domestic product at market prices","11.101.568,9"
"Current prices, million euro","European Union - 28 countries","2005","Gross domestic product at market prices","11.591.739,0"
"Current prices, million euro","European Union - 28 countries","2006","Gross domestic product at market prices","12.263.762,5"
"Current prices, million euro","European Union - 28 countries","2007","Gross domestic product at market prices","12.991.952,3"
"Current prices, million euro","European Union - 28 countries","2008","Gross domestic product at market prices","13.071.246,8"
"Current prices, million euro","European Union - 28 countries","2009","Gross domestic product at market prices","12.316.132,0"
"Current prices, million euro","European Union - 28 countries","2010","Gross domestic product at market prices","12.825.992,2"
"Current prices, million euro","European Union - 28 countries","2011","Gross domestic product at market prices","13.207.747,1"
"Current prices, million euro","European Union - 28 countries","2012","Gross domestic product at market prices","13.471.297,3"
"Current prices, million euro","European Union - 28 countries","2013","Gross domestic product at market prices","13.581.840,5"
"Current prices, million euro","European Union - 28 countries","2014","Gross domestic product at market prices","14.060.420,7"
"Current prices, million euro","European Union - 28 countries","2015","Gross domestic product at market prices","14.810.308,2"
"Current prices, million euro","European Union - 28 countries","2016","Gross domestic product at market prices","14.936.601,1"
"Current prices, million euro","European Union - 28 countries","2017","Gross domestic product at market prices","15.361.029,9"
"Current prices, million euro","European Union - 28 countries","2018","Gross domestic product at market prices","15.848.564,1"
"Current prices, million euro","European Union - 27 countries (from 2019)","1975","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1976","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1977","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1978","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1979","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1980","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1981","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1982","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1983","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1984","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1985","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1986","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1987","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1988","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1989","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1990","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1991","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1992","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1993","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1994","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 27 countries (from 2019)","1995","Gross domestic product at market prices","6.334.048,7"
"Current prices, million euro","European Union - 27 countries (from 2019)","1996","Gross domestic product at market prices","6.633.435,6"
"Current prices, million euro","European Union - 27 countries (from 2019)","1997","Gross domestic product at market prices","6.815.796,7"
"Current prices, million euro","European Union - 27 countries (from 2019)","1998","Gross domestic product at market prices","7.105.520,8"
"Current prices, million euro","European Union - 27 countries (from 2019)","1999","Gross domestic product at market prices","7.427.312,5"
"Current prices, million euro","European Union - 27 countries (from 2019)","2000","Gross domestic product at market prices","7.866.175,4"
"Current prices, million euro","European Union - 27 countries (from 2019)","2001","Gross domestic product at market prices","8.235.816,6"
"Current prices, million euro","European Union - 27 countries (from 2019)","2002","Gross domestic product at market prices","8.535.009,5"
"Current prices, million euro","European Union - 27 countries (from 2019)","2003","Gross domestic product at market prices","8.765.568,6"
"Current prices, million euro","European Union - 27 countries (from 2019)","2004","Gross domestic product at market prices","9.167.089,2"
"Current prices, million euro","European Union - 27 countries (from 2019)","2005","Gross domestic product at market prices","9.560.804,6"
"Current prices, million euro","European Union - 27 countries (from 2019)","2006","Gross domestic product at market prices","10.113.494,8"
"Current prices, million euro","European Union - 27 countries (from 2019)","2007","Gross domestic product at market prices","10.739.501,8"
"Current prices, million euro","European Union - 27 countries (from 2019)","2008","Gross domestic product at market prices","11.087.276,4"
"Current prices, million euro","European Union - 27 countries (from 2019)","2009","Gross domestic product at market prices","10.590.748,7"
"Current prices, million euro","European Union - 27 countries (from 2019)","2010","Gross domestic product at market prices","10.975.453,6"
"Current prices, million euro","European Union - 27 countries (from 2019)","2011","Gross domestic product at market prices","11.312.846,9"
"Current prices, million euro","European Union - 27 countries (from 2019)","2012","Gross domestic product at market prices","11.381.668,8"
"Current prices, million euro","European Union - 27 countries (from 2019)","2013","Gross domestic product at market prices","11.507.861,9"
"Current prices, million euro","European Union - 27 countries (from 2019)","2014","Gross domestic product at market prices","11.772.554,2"
"Current prices, million euro","European Union - 27 countries (from 2019)","2015","Gross domestic product at market prices","12.198.384,1"
"Current prices, million euro","European Union - 27 countries (from 2019)","2016","Gross domestic product at market prices","12.533.218,5"
"Current prices, million euro","European Union - 27 countries (from 2019)","2017","Gross domestic product at market prices","13.023.058,9"
"Current prices, million euro","European Union - 27 countries (from 2019)","2018","Gross domestic product at market prices","13.454.871,2"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1975","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1976","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1977","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1978","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1979","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1980","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1981","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1982","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1983","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1984","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1985","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1986","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1987","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1988","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1989","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1990","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1991","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1992","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1993","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1994","Gross domestic product at market prices",":"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1995","Gross domestic product at market prices","7.051.027,5"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1996","Gross domestic product at market prices","7.410.484,0"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1997","Gross domestic product at market prices","7.818.803,3"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1998","Gross domestic product at market prices","8.165.820,5"
"Current prices, million euro","European Union - 15 countries (1995-2004)","1999","Gross domestic product at market prices","8.580.957,1"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2000","Gross domestic product at market prices","9.183.782,8"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2001","Gross domestic product at market prices","9.523.959,0"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2002","Gross domestic product at market prices","9.851.366,3"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2003","Gross domestic product at market prices","10.008.328,2"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2004","Gross domestic product at market prices","10.480.006,2"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2005","Gross domestic product at market prices","10.870.788,9"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2006","Gross domestic product at market prices","11.455.318,4"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2007","Gross domestic product at market prices","12.050.948,5"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2008","Gross domestic product at market prices","12.001.068,7"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2009","Gross domestic product at market prices","11.363.507,5"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2010","Gross domestic product at market prices","11.809.476,1"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2011","Gross domestic product at market prices","12.141.711,1"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2012","Gross domestic product at market prices","12.392.950,6"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2013","Gross domestic product at market prices","12.484.905,6"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2014","Gross domestic product at market prices","12.930.250,7"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2015","Gross domestic product at market prices","13.622.689,7"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2016","Gross domestic product at market prices","13.718.623,4"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2017","Gross domestic product at market prices","14.038.153,7"
"Current prices, million euro","European Union - 15 countries (1995-2004)","2018","Gross domestic product at market prices","14.433.551,6"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1976","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1977","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1978","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1979","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1980","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1981","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1982","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1983","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1984","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1985","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1986","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1987","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1988","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1989","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1990","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1991","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1992","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1993","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1994","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1995","Gross domestic product at market prices","5.581.447,3"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1996","Gross domestic product at market prices","5.810.411,4"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1997","Gross domestic product at market prices","5.934.850,0"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1998","Gross domestic product at market prices","6.174.948,9"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","1999","Gross domestic product at market prices","6.454.297,2"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2000","Gross domestic product at market prices","6.793.213,9"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2001","Gross domestic product at market prices","7.255.541,6"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2002","Gross domestic product at market prices","7.499.403,6"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2003","Gross domestic product at market prices","7.712.102,2"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2004","Gross domestic product at market prices","8.035.310,5"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2005","Gross domestic product at market prices","8.313.445,2"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2006","Gross domestic product at market prices","8.744.237,4"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2007","Gross domestic product at market prices","9.243.329,0"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2008","Gross domestic product at market prices","9.485.803,8"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2009","Gross domestic product at market prices","9.221.928,0"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2010","Gross domestic product at market prices","9.476.134,2"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2011","Gross domestic product at market prices","9.744.407,3"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012","Gross domestic product at market prices","9.778.485,0"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013","Gross domestic product at market prices","9.871.307,9"
