"NA_ITEM","GEO","TIME","UNIT","SECTOR","Value"
"Government consolidated gross debt","European Union - 28 countries","1995","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","1995","Million euro","General government",":"
"Government consolidated gross debt","European Union - 28 countries","1996","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","1996","Million euro","General government",":"
"Government consolidated gross debt","European Union - 28 countries","1997","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","1997","Million euro","General government",":"
"Government consolidated gross debt","European Union - 28 countries","1998","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","1998","Million euro","General government",":"
"Government consolidated gross debt","European Union - 28 countries","1999","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","1999","Million euro","General government",":"
"Government consolidated gross debt","European Union - 28 countries","2000","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2000","Million euro","General government","5.804.160,5"
"Government consolidated gross debt","European Union - 28 countries","2001","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2001","Million euro","General government","5.966.905,0"
"Government consolidated gross debt","European Union - 28 countries","2002","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2002","Million euro","General government","6.134.405,9"
"Government consolidated gross debt","European Union - 28 countries","2003","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2003","Million euro","General government","6.387.915,8"
"Government consolidated gross debt","European Union - 28 countries","2004","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2004","Million euro","General government","6.768.345,5"
"Government consolidated gross debt","European Union - 28 countries","2005","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2005","Million euro","General government","7.137.292,9"
"Government consolidated gross debt","European Union - 28 countries","2006","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2006","Million euro","General government","7.376.541,3"
"Government consolidated gross debt","European Union - 28 countries","2007","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2007","Million euro","General government","7.479.075,2"
"Government consolidated gross debt","European Union - 28 countries","2008","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2008","Million euro","General government","7.947.504,1"
"Government consolidated gross debt","European Union - 28 countries","2009","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2009","Million euro","General government","9.038.211,9"
"Government consolidated gross debt","European Union - 28 countries","2010","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2010","Million euro","General government","10.142.650,8"
"Government consolidated gross debt","European Union - 28 countries","2011","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2011","Million euro","General government","10.781.206,3"
"Government consolidated gross debt","European Union - 28 countries","2012","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2012","Million euro","General government","11.321.912,7"
"Government consolidated gross debt","European Union - 28 countries","2013","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2013","Million euro","General government","11.671.221,9"
"Government consolidated gross debt","European Union - 28 countries","2014","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2014","Million euro","General government","12.180.440,3"
"Government consolidated gross debt","European Union - 28 countries","2015","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2015","Million euro","General government","12.540.668,1"
"Government consolidated gross debt","European Union - 28 countries","2016","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2016","Million euro","General government","12.478.496,8"
"Government consolidated gross debt","European Union - 28 countries","2017","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2017","Million euro","General government","12.579.778,2"
"Government consolidated gross debt","European Union - 28 countries","2018","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 28 countries","2018","Million euro","General government","12.715.249,1"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","1995","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","1995","Million euro","General government",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","1996","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","1996","Million euro","General government",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","1997","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","1997","Million euro","General government",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","1998","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","1998","Million euro","General government",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","1999","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","1999","Million euro","General government",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2000","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2000","Million euro","General government","5.795.719,5"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2001","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2001","Million euro","General government","5.957.262,7"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2002","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2002","Million euro","General government","6.124.046,4"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2003","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2003","Million euro","General government","6.376.333,7"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2004","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2004","Million euro","General government","6.755.178,7"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2005","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2005","Million euro","General government","7.122.227,4"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2006","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2006","Million euro","General government","7.361.073,5"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2007","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2007","Million euro","General government","7.462.685,7"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2008","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2008","Million euro","General government","7.929.065,8"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2009","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2009","Million euro","General government","9.016.288,2"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2010","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2010","Million euro","General government","10.117.084,4"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2011","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2011","Million euro","General government","10.752.949,2"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2012","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2012","Million euro","General government","11.291.495,3"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2013","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2013","Million euro","General government","11.636.245,2"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2014","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2014","Million euro","General government","12.144.075,6"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2015","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2015","Million euro","General government","12.503.439,7"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2016","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2016","Million euro","General government","12.441.095,4"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2017","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2017","Million euro","General government","12.541.566,7"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2018","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 27 countries (2007-2013)","2018","Million euro","General government","12.676.844,6"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","1995","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","1995","Million euro","General government",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","1996","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","1996","Million euro","General government",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","1997","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","1997","Million euro","General government",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","1998","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","1998","Million euro","General government",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","1999","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","1999","Million euro","General government",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2000","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2000","Million euro","General government","5.778.018,2"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2001","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2001","Million euro","General government","5.936.075,7"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2002","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2002","Million euro","General government","6.104.399,1"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2003","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2003","Million euro","General government","6.357.897,8"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2004","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2004","Million euro","General government","6.735.883,8"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2005","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2005","Million euro","General government","7.103.441,1"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2006","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2006","Million euro","General government","7.342.766,9"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2007","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2007","Million euro","General government","7.443.265,0"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2008","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2008","Million euro","General government","7.907.608,0"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2009","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2009","Million euro","General government","8.983.876,9"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2010","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2010","Million euro","General government","10.074.419,0"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2011","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2011","Million euro","General government","10.702.591,9"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2012","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2012","Million euro","General government","11.235.146,6"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2013","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2013","Million euro","General government","11.575.757,8"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2014","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2014","Million euro","General government","12.074.043,6"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2015","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2015","Million euro","General government","12.432.137,6"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2016","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2016","Million euro","General government","12.363.989,8"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2017","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2017","Million euro","General government","12.463.710,9"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2018","Million euro","Total economy",":"
"Government consolidated gross debt","European Union - 25 countries (2004-2006)","2018","Million euro","General government","12.593.596,3"
"Government consolidated gross debt","Euro area (19 countries)","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","1995","Million euro","General government",":"
"Government consolidated gross debt","Euro area (19 countries)","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","1996","Million euro","General government",":"
"Government consolidated gross debt","Euro area (19 countries)","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","1997","Million euro","General government",":"
"Government consolidated gross debt","Euro area (19 countries)","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","1998","Million euro","General government",":"
"Government consolidated gross debt","Euro area (19 countries)","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","1999","Million euro","General government",":"
"Government consolidated gross debt","Euro area (19 countries)","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2000","Million euro","General government","4.791.881,4"
"Government consolidated gross debt","Euro area (19 countries)","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2001","Million euro","General government","4.935.979,4"
"Government consolidated gross debt","Euro area (19 countries)","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2002","Million euro","General government","5.097.190,0"
"Government consolidated gross debt","Euro area (19 countries)","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2003","Million euro","General government","5.339.455,2"
"Government consolidated gross debt","Euro area (19 countries)","2004","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2004","Million euro","General government","5.593.789,3"
"Government consolidated gross debt","Euro area (19 countries)","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2005","Million euro","General government","5.860.793,2"
"Government consolidated gross debt","Euro area (19 countries)","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2006","Million euro","General government","6.003.476,6"
"Government consolidated gross debt","Euro area (19 countries)","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2007","Million euro","General government","6.113.216,2"
"Government consolidated gross debt","Euro area (19 countries)","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2008","Million euro","General government","6.626.570,0"
"Government consolidated gross debt","Euro area (19 countries)","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2009","Million euro","General government","7.363.713,4"
"Government consolidated gross debt","Euro area (19 countries)","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2010","Million euro","General government","8.100.831,8"
"Government consolidated gross debt","Euro area (19 countries)","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2011","Million euro","General government","8.517.577,8"
"Government consolidated gross debt","Euro area (19 countries)","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2012","Million euro","General government","8.850.881,3"
"Government consolidated gross debt","Euro area (19 countries)","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2013","Million euro","General government","9.126.620,5"
"Government consolidated gross debt","Euro area (19 countries)","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2014","Million euro","General government","9.362.562,8"
"Government consolidated gross debt","Euro area (19 countries)","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2015","Million euro","General government","9.489.191,6"
"Government consolidated gross debt","Euro area (19 countries)","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2016","Million euro","General government","9.666.143,8"
"Government consolidated gross debt","Euro area (19 countries)","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2017","Million euro","General government","9.760.551,0"
"Government consolidated gross debt","Euro area (19 countries)","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (19 countries)","2018","Million euro","General government","9.859.512,7"
"Government consolidated gross debt","Euro area (18 countries)","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","1995","Million euro","General government",":"
"Government consolidated gross debt","Euro area (18 countries)","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","1996","Million euro","General government",":"
"Government consolidated gross debt","Euro area (18 countries)","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","1997","Million euro","General government",":"
"Government consolidated gross debt","Euro area (18 countries)","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","1998","Million euro","General government",":"
"Government consolidated gross debt","Euro area (18 countries)","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","1999","Million euro","General government",":"
"Government consolidated gross debt","Euro area (18 countries)","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2000","Million euro","General government","4.788.969,3"
"Government consolidated gross debt","Euro area (18 countries)","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2001","Million euro","General government","4.932.794,2"
"Government consolidated gross debt","Euro area (18 countries)","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2002","Million euro","General government","5.093.824,3"
"Government consolidated gross debt","Euro area (18 countries)","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2003","Million euro","General government","5.336.060,1"
"Government consolidated gross debt","Euro area (18 countries)","2004","Million euro","Total economy",":"
