"TAX","GEO","TIME","UNIT","Value"
"Total environmental taxes","European Union - 28 countries","1995","Million euro","188.861,35"
"Total environmental taxes","European Union - 28 countries","1995","Million units of national currency","188.861,35"
"Total environmental taxes","European Union - 28 countries","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","1995","Percentage of gross domestic product (GDP)","2,57"
"Total environmental taxes","European Union - 28 countries","1996","Million euro","202.816,32"
"Total environmental taxes","European Union - 28 countries","1996","Million units of national currency","202.816,32"
"Total environmental taxes","European Union - 28 countries","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","1996","Percentage of gross domestic product (GDP)","2,62"
"Total environmental taxes","European Union - 28 countries","1997","Million euro","212.480,73"
"Total environmental taxes","European Union - 28 countries","1997","Million units of national currency","212.480,73"
"Total environmental taxes","European Union - 28 countries","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","1997","Percentage of gross domestic product (GDP)","2,59"
"Total environmental taxes","European Union - 28 countries","1998","Million euro","225.867,96"
"Total environmental taxes","European Union - 28 countries","1998","Million units of national currency","225.867,96"
"Total environmental taxes","European Union - 28 countries","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","1998","Percentage of gross domestic product (GDP)","2,63"
"Total environmental taxes","European Union - 28 countries","1999","Million euro","242.586,72"
"Total environmental taxes","European Union - 28 countries","1999","Million units of national currency","242.586,72"
"Total environmental taxes","European Union - 28 countries","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","1999","Percentage of gross domestic product (GDP)","2,7"
"Total environmental taxes","European Union - 28 countries","2000","Million euro","249.434,9"
"Total environmental taxes","European Union - 28 countries","2000","Million units of national currency","249.434,9"
"Total environmental taxes","European Union - 28 countries","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","2000","Percentage of gross domestic product (GDP)","2,58"
"Total environmental taxes","European Union - 28 countries","2001","Million euro","253.877,2"
"Total environmental taxes","European Union - 28 countries","2001","Million units of national currency","253.877,2"
"Total environmental taxes","European Union - 28 countries","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)",":"
"Total environmental taxes","European Union - 28 countries","2001","Percentage of gross domestic product (GDP)","2,52"
"Total environmental taxes","European Union - 28 countries","2002","Million euro","264.376,58"
"Total environmental taxes","European Union - 28 countries","2002","Million units of national currency","264.376,58"
"Total environmental taxes","European Union - 28 countries","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,59"
"Total environmental taxes","European Union - 28 countries","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,8"
"Total environmental taxes","European Union - 28 countries","2002","Percentage of gross domestic product (GDP)","2,54"
"Total environmental taxes","European Union - 28 countries","2003","Million euro","270.714,52"
"Total environmental taxes","European Union - 28 countries","2003","Million units of national currency","270.714,52"
"Total environmental taxes","European Union - 28 countries","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,63"
"Total environmental taxes","European Union - 28 countries","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,85"
"Total environmental taxes","European Union - 28 countries","2003","Percentage of gross domestic product (GDP)","2,56"
"Total environmental taxes","European Union - 28 countries","2004","Million euro","281.873,57"
"Total environmental taxes","European Union - 28 countries","2004","Million units of national currency","281.873,57"
"Total environmental taxes","European Union - 28 countries","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,59"
"Total environmental taxes","European Union - 28 countries","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,8"
"Total environmental taxes","European Union - 28 countries","2004","Percentage of gross domestic product (GDP)","2,54"
"Total environmental taxes","European Union - 28 countries","2005","Million euro","288.411,7"
"Total environmental taxes","European Union - 28 countries","2005","Million units of national currency","288.411,7"
"Total environmental taxes","European Union - 28 countries","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,42"
"Total environmental taxes","European Union - 28 countries","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,62"
"Total environmental taxes","European Union - 28 countries","2005","Percentage of gross domestic product (GDP)","2,49"
"Total environmental taxes","European Union - 28 countries","2006","Million euro","296.509,11"
"Total environmental taxes","European Union - 28 countries","2006","Million units of national currency","296.509,11"
"Total environmental taxes","European Union - 28 countries","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,19"
"Total environmental taxes","European Union - 28 countries","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,38"
"Total environmental taxes","European Union - 28 countries","2006","Percentage of gross domestic product (GDP)","2,42"
"Total environmental taxes","European Union - 28 countries","2007","Million euro","304.512,47"
"Total environmental taxes","European Union - 28 countries","2007","Million units of national currency","304.512,47"
"Total environmental taxes","European Union - 28 countries","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,99"
"Total environmental taxes","European Union - 28 countries","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,16"
"Total environmental taxes","European Union - 28 countries","2007","Percentage of gross domestic product (GDP)","2,34"
"Total environmental taxes","European Union - 28 countries","2008","Million euro","297.951,3"
"Total environmental taxes","European Union - 28 countries","2008","Million units of national currency","297.951,3"
"Total environmental taxes","European Union - 28 countries","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,86"
"Total environmental taxes","European Union - 28 countries","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,03"
"Total environmental taxes","European Union - 28 countries","2008","Percentage of gross domestic product (GDP)","2,28"
"Total environmental taxes","European Union - 28 countries","2009","Million euro","289.845,04"
"Total environmental taxes","European Union - 28 countries","2009","Million units of national currency","289.845,04"
"Total environmental taxes","European Union - 28 countries","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,13"
"Total environmental taxes","European Union - 28 countries","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,34"
"Total environmental taxes","European Union - 28 countries","2009","Percentage of gross domestic product (GDP)","2,35"
"Total environmental taxes","European Union - 28 countries","2010","Million euro","304.062,99"
"Total environmental taxes","European Union - 28 countries","2010","Million units of national currency","304.062,99"
"Total environmental taxes","European Union - 28 countries","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,17"
"Total environmental taxes","European Union - 28 countries","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,37"
"Total environmental taxes","European Union - 28 countries","2010","Percentage of gross domestic product (GDP)","2,37"
"Total environmental taxes","European Union - 28 countries","2011","Million euro","317.126,96"
"Total environmental taxes","European Union - 28 countries","2011","Million units of national currency","317.126,96"
"Total environmental taxes","European Union - 28 countries","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,18"
"Total environmental taxes","European Union - 28 countries","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,37"
"Total environmental taxes","European Union - 28 countries","2011","Percentage of gross domestic product (GDP)","2,4"
"Total environmental taxes","European Union - 28 countries","2012","Million euro","327.510,87"
"Total environmental taxes","European Union - 28 countries","2012","Million units of national currency","327.510,87"
"Total environmental taxes","European Union - 28 countries","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,16"
"Total environmental taxes","European Union - 28 countries","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,35"
"Total environmental taxes","European Union - 28 countries","2012","Percentage of gross domestic product (GDP)","2,43"
"Total environmental taxes","European Union - 28 countries","2013","Million euro","332.668,05"
"Total environmental taxes","European Union - 28 countries","2013","Million units of national currency","332.668,05"
"Total environmental taxes","European Union - 28 countries","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,13"
"Total environmental taxes","European Union - 28 countries","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,33"
"Total environmental taxes","European Union - 28 countries","2013","Percentage of gross domestic product (GDP)","2,45"
"Total environmental taxes","European Union - 28 countries","2014","Million euro","344.118,88"
"Total environmental taxes","European Union - 28 countries","2014","Million units of national currency","344.118,88"
"Total environmental taxes","European Union - 28 countries","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,14"
"Total environmental taxes","European Union - 28 countries","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,33"
"Total environmental taxes","European Union - 28 countries","2014","Percentage of gross domestic product (GDP)","2,45"
"Total environmental taxes","European Union - 28 countries","2015","Million euro","360.145,98"
"Total environmental taxes","European Union - 28 countries","2015","Million units of national currency","360.145,98"
"Total environmental taxes","European Union - 28 countries","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,13"
"Total environmental taxes","European Union - 28 countries","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,31"
"Total environmental taxes","European Union - 28 countries","2015","Percentage of gross domestic product (GDP)","2,43"
"Total environmental taxes","European Union - 28 countries","2016","Million euro","364.780,16"
"Total environmental taxes","European Union - 28 countries","2016","Million units of national currency","364.780,16"
"Total environmental taxes","European Union - 28 countries","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,11"
"Total environmental taxes","European Union - 28 countries","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,3"
"Total environmental taxes","European Union - 28 countries","2016","Percentage of gross domestic product (GDP)","2,44"
"Total environmental taxes","European Union - 28 countries","2017","Million euro","368.796,24"
"Total environmental taxes","European Union - 28 countries","2017","Million units of national currency","368.796,24"
"Total environmental taxes","European Union - 28 countries","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,97"
"Total environmental taxes","European Union - 28 countries","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,14"
"Total environmental taxes","European Union - 28 countries","2017","Percentage of gross domestic product (GDP)","2,4"
"Total environmental taxes","Euro area (19 countries)","1995","Million euro","147.078,17"
"Total environmental taxes","Euro area (19 countries)","1995","Million units of national currency","147.078,17"
"Total environmental taxes","Euro area (19 countries)","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,36"
"Total environmental taxes","Euro area (19 countries)","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,62"
"Total environmental taxes","Euro area (19 countries)","1995","Percentage of gross domestic product (GDP)","2,56"
"Total environmental taxes","Euro area (19 countries)","1996","Million euro","156.119,61"
"Total environmental taxes","Euro area (19 countries)","1996","Million units of national currency","156.119,61"
"Total environmental taxes","Euro area (19 countries)","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,39"
"Total environmental taxes","Euro area (19 countries)","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,62"
"Total environmental taxes","Euro area (19 countries)","1996","Percentage of gross domestic product (GDP)","2,61"
"Total environmental taxes","Euro area (19 countries)","1997","Million euro","157.974,43"
"Total environmental taxes","Euro area (19 countries)","1997","Million units of national currency","157.974,43"
"Total environmental taxes","Euro area (19 countries)","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,27"
"Total environmental taxes","Euro area (19 countries)","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,49"
"Total environmental taxes","Euro area (19 countries)","1997","Percentage of gross domestic product (GDP)","2,57"
"Total environmental taxes","Euro area (19 countries)","1998","Million euro","163.508,78"
"Total environmental taxes","Euro area (19 countries)","1998","Million units of national currency","163.508,78"
"Total environmental taxes","Euro area (19 countries)","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,27"
"Total environmental taxes","Euro area (19 countries)","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,48"
"Total environmental taxes","Euro area (19 countries)","1998","Percentage of gross domestic product (GDP)","2,56"
"Total environmental taxes","Euro area (19 countries)","1999","Million euro","175.054,86"
"Total environmental taxes","Euro area (19 countries)","1999","Million units of national currency","175.054,86"
"Total environmental taxes","Euro area (19 countries)","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,34"
"Total environmental taxes","Euro area (19 countries)","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,55"
"Total environmental taxes","Euro area (19 countries)","1999","Percentage of gross domestic product (GDP)","2,62"
"Total environmental taxes","Euro area (19 countries)","2000","Million euro","176.509,45"
"Total environmental taxes","Euro area (19 countries)","2000","Million units of national currency","176.509,45"
"Total environmental taxes","Euro area (19 countries)","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,14"
"Total environmental taxes","Euro area (19 countries)","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,34"
"Total environmental taxes","Euro area (19 countries)","2000","Percentage of gross domestic product (GDP)","2,51"
"Total environmental taxes","Euro area (19 countries)","2001","Million euro","182.715,04"
"Total environmental taxes","Euro area (19 countries)","2001","Million units of national currency","182.715,04"
"Total environmental taxes","Euro area (19 countries)","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,21"
"Total environmental taxes","Euro area (19 countries)","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,42"
"Total environmental taxes","Euro area (19 countries)","2001","Percentage of gross domestic product (GDP)","2,48"
"Total environmental taxes","Euro area (19 countries)","2002","Million euro","189.092,27"
"Total environmental taxes","Euro area (19 countries)","2002","Million units of national currency","189.092,27"
"Total environmental taxes","Euro area (19 countries)","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,28"
"Total environmental taxes","Euro area (19 countries)","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,48"
"Total environmental taxes","Euro area (19 countries)","2002","Percentage of gross domestic product (GDP)","2,48"
"Total environmental taxes","Euro area (19 countries)","2003","Million euro","197.544,6"
"Total environmental taxes","Euro area (19 countries)","2003","Million units of national currency","197.544,6"
"Total environmental taxes","Euro area (19 countries)","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,38"
"Total environmental taxes","Euro area (19 countries)","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,58"
"Total environmental taxes","Euro area (19 countries)","2003","Percentage of gross domestic product (GDP)","2,52"
"Total environmental taxes","Euro area (19 countries)","2004","Million euro","203.281,9"
"Total environmental taxes","Euro area (19 countries)","2004","Million units of national currency","203.281,9"
"Total environmental taxes","Euro area (19 countries)","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,34"
"Total environmental taxes","Euro area (19 countries)","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,55"
"Total environmental taxes","Euro area (19 countries)","2004","Percentage of gross domestic product (GDP)","2,49"
"Total environmental taxes","Euro area (19 countries)","2005","Million euro","207.830,71"
"Total environmental taxes","Euro area (19 countries)","2005","Million units of national currency","207.830,71"
"Total environmental taxes","Euro area (19 countries)","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,23"
"Total environmental taxes","Euro area (19 countries)","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,42"
"Total environmental taxes","Euro area (19 countries)","2005","Percentage of gross domestic product (GDP)","2,46"
"Total environmental taxes","Euro area (19 countries)","2006","Million euro","213.157,44"
"Total environmental taxes","Euro area (19 countries)","2006","Million units of national currency","213.157,44"
"Total environmental taxes","Euro area (19 countries)","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6"
"Total environmental taxes","Euro area (19 countries)","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,18"
"Total environmental taxes","Euro area (19 countries)","2006","Percentage of gross domestic product (GDP)","2,39"
"Total environmental taxes","Euro area (19 countries)","2007","Million euro","213.844,98"
"Total environmental taxes","Euro area (19 countries)","2007","Million units of national currency","213.844,98"
"Total environmental taxes","Euro area (19 countries)","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,69"
"Total environmental taxes","Euro area (19 countries)","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,86"
"Total environmental taxes","Euro area (19 countries)","2007","Percentage of gross domestic product (GDP)","2,27"
"Total environmental taxes","Euro area (19 countries)","2008","Million euro","212.764,04"
"Total environmental taxes","Euro area (19 countries)","2008","Million units of national currency","212.764,04"
