"AGE","GEO","TIME","SEX","UNIT","Value"
"Total","European Union - 28 countries","1960","Total","Number","406.731.754"
"Total","European Union - 28 countries","1960","Males","Number",":"
"Total","European Union - 28 countries","1960","Females","Number",":"
"Total","European Union - 28 countries","1961","Total","Number",":"
"Total","European Union - 28 countries","1961","Males","Number",":"
"Total","European Union - 28 countries","1961","Females","Number",":"
"Total","European Union - 28 countries","1962","Total","Number",":"
"Total","European Union - 28 countries","1962","Males","Number",":"
"Total","European Union - 28 countries","1962","Females","Number",":"
"Total","European Union - 28 countries","1963","Total","Number",":"
"Total","European Union - 28 countries","1963","Males","Number",":"
"Total","European Union - 28 countries","1963","Females","Number",":"
"Total","European Union - 28 countries","1964","Total","Number",":"
"Total","European Union - 28 countries","1964","Males","Number",":"
"Total","European Union - 28 countries","1964","Females","Number",":"
"Total","European Union - 28 countries","1965","Total","Number","424.721.157"
"Total","European Union - 28 countries","1965","Males","Number",":"
"Total","European Union - 28 countries","1965","Females","Number",":"
"Total","European Union - 28 countries","1966","Total","Number",":"
"Total","European Union - 28 countries","1966","Males","Number",":"
"Total","European Union - 28 countries","1966","Females","Number",":"
"Total","European Union - 28 countries","1967","Total","Number",":"
"Total","European Union - 28 countries","1967","Males","Number",":"
"Total","European Union - 28 countries","1967","Females","Number",":"
"Total","European Union - 28 countries","1968","Total","Number",":"
"Total","European Union - 28 countries","1968","Males","Number",":"
"Total","European Union - 28 countries","1968","Females","Number",":"
"Total","European Union - 28 countries","1969","Total","Number",":"
"Total","European Union - 28 countries","1969","Males","Number",":"
"Total","European Union - 28 countries","1969","Females","Number",":"
"Total","European Union - 28 countries","1970","Total","Number","439.872.962"
"Total","European Union - 28 countries","1970","Males","Number",":"
"Total","European Union - 28 countries","1970","Females","Number",":"
"Total","European Union - 28 countries","1971","Total","Number","441.729.180"
"Total","European Union - 28 countries","1971","Males","Number",":"
"Total","European Union - 28 countries","1971","Females","Number",":"
"Total","European Union - 28 countries","1972","Total","Number",":"
"Total","European Union - 28 countries","1972","Males","Number",":"
"Total","European Union - 28 countries","1972","Females","Number",":"
"Total","European Union - 28 countries","1973","Total","Number",":"
"Total","European Union - 28 countries","1973","Males","Number",":"
"Total","European Union - 28 countries","1973","Females","Number",":"
"Total","European Union - 28 countries","1974","Total","Number",":"
"Total","European Union - 28 countries","1974","Males","Number",":"
"Total","European Union - 28 countries","1974","Females","Number",":"
"Total","European Union - 28 countries","1975","Total","Number","452.066.347"
"Total","European Union - 28 countries","1975","Males","Number",":"
"Total","European Union - 28 countries","1975","Females","Number",":"
"Total","European Union - 28 countries","1976","Total","Number","454.258.031"
"Total","European Union - 28 countries","1976","Males","Number",":"
"Total","European Union - 28 countries","1976","Females","Number",":"
"Total","European Union - 28 countries","1977","Total","Number","456.170.597"
"Total","European Union - 28 countries","1977","Males","Number",":"
"Total","European Union - 28 countries","1977","Females","Number",":"
"Total","European Union - 28 countries","1978","Total","Number","458.087.072"
"Total","European Union - 28 countries","1978","Males","Number",":"
"Total","European Union - 28 countries","1978","Females","Number",":"
"Total","European Union - 28 countries","1979","Total","Number","459.871.204"
"Total","European Union - 28 countries","1979","Males","Number",":"
"Total","European Union - 28 countries","1979","Females","Number",":"
"Total","European Union - 28 countries","1980","Total","Number","461.751.770"
"Total","European Union - 28 countries","1980","Males","Number",":"
