"";"Drzava";"Leto";"BDP.E"
"1";"Belgium";1998;232868,6
"2";"Belgium";1999;244226
"3";"Belgium";2000;258222
"4";"Belgium";2001;265788,4
"5";"Belgium";2002;275065,1
"6";"Belgium";2003;282636,5
"7";"Belgium";2004;298710,8
"8";"Belgium";2005;311480,8
"9";"Belgium";2006;326662,1
"10";"Belgium";2007;344712,5
"11";"Belgium";2008;354065,9
"12";"Belgium";2009;348781,1
"13";"Belgium";2010;365100,5
"14";"Belgium";2011;379106,3
"15";"Belgium";2012;387500,1
"16";"Belgium";2013;392339,8
"17";"Belgium";2014;400086,6
"18";"Belgium";2015;411102,7
"19";"Belgium";2016;424604,7
"20";"Belgium";2017;439174,5
"21";"Belgium";2018;450505,7
"22";"Bulgaria";1998;13358,5
"23";"Bulgaria";1999;12714,8
"24";"Bulgaria";2000;14305,8
"25";"Bulgaria";2001;15784,3
"26";"Bulgaria";2002;17343,6
"27";"Bulgaria";2003;18654
"28";"Bulgaria";2004;20932
"29";"Bulgaria";2005;23852,7
"30";"Bulgaria";2006;27210,9
"31";"Bulgaria";2007;32449,1
"32";"Bulgaria";2008;37200,1
"33";"Bulgaria";2009;37317,7
"34";"Bulgaria";2010;38230,5
"35";"Bulgaria";2011;41292
"36";"Bulgaria";2012;41947,2
"37";"Bulgaria";2013;41858,1
"38";"Bulgaria";2014;42824,4
"39";"Bulgaria";2015;45288,5
"40";"Bulgaria";2016;48128,6
"41";"Bulgaria";2017;51663
"42";"Bulgaria";2018;55182,2
"43";"Czechia";1998;59540,9
"44";"Czechia";1999;60796,5
"45";"Czechia";2000;66838,8
"46";"Czechia";2001;75387,7
"47";"Czechia";2002;87055,1
"48";"Czechia";2003;88249,1
"49";"Czechia";2004;96028,5
"50";"Czechia";2005;109627,7
"51";"Czechia";2006;123943,2
"52";"Czechia";2007;138302,9
"53";"Czechia";2008;161313,1
"54";"Czechia";2009;148682
"55";"Czechia";2010;156718,2
"56";"Czechia";2011;164040,5
"57";"Czechia";2012;161434,3
"58";"Czechia";2013;157741,6
"59";"Czechia";2014;156660
"60";"Czechia";2015;168473,3
"61";"Czechia";2016;176370,1
"62";"Czechia";2017;191721,8
"63";"Czechia";2018;207772,4
"64";"Denmark";1998;158146,4
"65";"Denmark";1999;166972,1
"66";"Denmark";2000;178018,1
"67";"Denmark";2001;184045,6
"68";"Denmark";2002;189794,9
"69";"Denmark";2003;193353,4
"70";"Denmark";2004;202422,2
"71";"Denmark";2005;212832,4
"72";"Denmark";2006;225531,3
"73";"Denmark";2007;233383,3
"74";"Denmark";2008;241613,5
"75";"Denmark";2009;231278
"76";"Denmark";2010;243165,4
"77";"Denmark";2011;247879,9
"78";"Denmark";2012;254578
"79";"Denmark";2013;258742,7
"80";"Denmark";2014;265757
"81";"Denmark";2015;273017,6
"82";"Denmark";2016;282090
"83";"Denmark";2017;292806,1
"84";"Denmark";2018;298276,5
"85";"Germany";1998;2000815,9
"86";"Germany";1999;2059480
"87";"Germany";2000;2109090
"88";"Germany";2001;2172540
"89";"Germany";2002;2198120
"90";"Germany";2003;2211570
"91";"Germany";2004;2262520
"92";"Germany";2005;2288310
"93";"Germany";2006;2385080
"94";"Germany";2007;2499550
"95";"Germany";2008;2546490
"96";"Germany";2009;2445730
"97";"Germany";2010;2564400
"98";"Germany";2011;2693560
"99";"Germany";2012;2745310
"100";"Germany";2013;2811350
"101";"Germany";2014;2927430
"102";"Germany";2015;3030070
"103";"Germany";2016;3134100
"104";"Germany";2017;3244990
"105";"Germany";2018;3344370
"106";"Estonia";1998;5060,3
"107";"Estonia";1999;5411,7
"108";"Estonia";2000;6179,8
"109";"Estonia";2001;6992,2
"110";"Estonia";2002;7827,3
"111";"Estonia";2003;8747,6
"112";"Estonia";2004;9776,2
"113";"Estonia";2005;11336,5
"114";"Estonia";2006;13560,5
"115";"Estonia";2007;16398,7
"116";"Estonia";2008;16638,3
"117";"Estonia";2009;14211,8
"118";"Estonia";2010;14863,1
"119";"Estonia";2011;16829,2
"120";"Estonia";2012;18050,7
"121";"Estonia";2013;19033,4
"122";"Estonia";2014;20180
"123";"Estonia";2015;20782,2
"124";"Estonia";2016;21693,6
"125";"Estonia";2017;23775,8
"126";"Estonia";2018;26035,9
"127";"Ireland";1998;80460,9
"128";"Ireland";1999;92632,4
"129";"Ireland";2000;108380,4
"130";"Ireland";2001;121958,6
"131";"Ireland";2002;135959,2
"132";"Ireland";2003;145555,8
"133";"Ireland";2004;156143,8
"134";"Ireland";2005;170187
"135";"Ireland";2006;184993,7
"136";"Ireland";2007;197202
"137";"Ireland";2008;187769,1
"138";"Ireland";2009;170100,5
"139";"Ireland";2010;167732,3
"140";"Ireland";2011;170827
"141";"Ireland";2012;175115,7
"142";"Ireland";2013;179661,3
"143";"Ireland";2014;194818,2
"144";"Ireland";2015;262833,4
"145";"Ireland";2016;271683,6
"146";"Ireland";2017;297130,8
"147";"Ireland";2018;324038,2
"148";"Greece";1998;129057,3
"149";"Greece";1999;139945,1
"150";"Greece";2000;142976
"151";"Greece";2001;152193,8
"152";"Greece";2002;163460,8
"153";"Greece";2003;178904,9
"154";"Greece";2004;193715,8
"155";"Greece";2005;199242,3
"156";"Greece";2006;217861,6
"157";"Greece";2007;232694,6
"158";"Greece";2008;241990,4
"159";"Greece";2009;237534,2
"160";"Greece";2010;226031,4
"161";"Greece";2011;207028,9
"162";"Greece";2012;191203,9
"163";"Greece";2013;180654,3
"164";"Greece";2014;178656,5
"165";"Greece";2015;177258,4
"166";"Greece";2016;176487,9
"167";"Greece";2017;180217,6
"168";"Greece";2018;184713,6
"169";"Spain";1998;553338,4
"170";"Spain";1999;595723
"171";"Spain";2000;647851
"172";"Spain";2001;700993
"173";"Spain";2002;749552
"174";"Spain";2003;802266
"175";"Spain";2004;859437
"176";"Spain";2005;927357
"177";"Spain";2006;1003823
"178";"Spain";2007;1075539
"179";"Spain";2008;1109541
"180";"Spain";2009;1069323
"181";"Spain";2010;1072709
"182";"Spain";2011;1063763
"183";"Spain";2012;1031099
"184";"Spain";2013;1020348
"185";"Spain";2014;1032158
"186";"Spain";2015;1077590
"187";"Spain";2016;1113840
"188";"Spain";2017;1161878
"189";"Spain";2018;1202193
"190";"France";1998;1343327,3
"191";"France";1999;1400999
"192";"France";2000;1478585
"193";"France";2001;1538200
"194";"France";2002;1587829
"195";"France";2003;1630666
"196";"France";2004;1704019
"197";"France";2005;1765905
"198";"France";2006;1848151
"199";"France";2007;1941360
"200";"France";2008;1992380
"201";"France";2009;1936422
"202";"France";2010;1995289
"203";"France";2011;2058369
"204";"France";2012;2088804
"205";"France";2013;2117189
"206";"France";2014;2149765
"207";"France";2015;2198432
"208";"France";2016;2234129
"209";"France";2017;2295063
"210";"France";2018;2353090
"211";"Croatia";1998;22664,4
"212";"Croatia";1999;21955,7
"213";"Croatia";2000;23582
"214";"Croatia";2001;25965,1
"215";"Croatia";2002;28531
"216";"Croatia";2003;30710,8
"217";"Croatia";2004;33423,3
"218";"Croatia";2005;36452,7
"219";"Croatia";2006;40158,7
"220";"Croatia";2007;43946,8
"221";"Croatia";2008;48138,8
"222";"Croatia";2009;45145,4
"223";"Croatia";2010;45155,5
"224";"Croatia";2011;44825,5
"225";"Croatia";2012;43982,7
"226";"Croatia";2013;43779,2
"227";"Croatia";2014;43431
"228";"Croatia";2015;44605,9
"229";"Croatia";2016;46639,5
"230";"Croatia";2017;48989,5
"231";"Croatia";2018;51467,8
"232";"Italy";1998;1134534,9
"233";"Italy";1999;1175149,5
"234";"Italy";2000;1241512,9
"235";"Italy";2001;1304136,8
"236";"Italy";2002;1350258,9
"237";"Italy";2003;1394693,2
"238";"Italy";2004;1452319
"239";"Italy";2005;1493635,3
"240";"Italy";2006;1552686,8
"241";"Italy";2007;1614839,8
"242";"Italy";2008;1637699,4
"243";"Italy";2009;1577255,9
"244";"Italy";2010;1611279,4
"245";"Italy";2011;1648755,8
"246";"Italy";2012;1624358,7
"247";"Italy";2013;1612751,3
"248";"Italy";2014;1627405,6
"249";"Italy";2015;1655355
"250";"Italy";2016;1695590,1
"251";"Italy";2017;1736601,8
"252";"Italy";2018;1765421,4
"253";"Cyprus";1998;9152,6
"254";"Cyprus";1999;9839,7
"255";"Cyprus";2000;10804,6
"256";"Cyprus";2001;11602,9
"257";"Cyprus";2002;12082,9
"258";"Cyprus";2003;12871,3
"259";"Cyprus";2004;13938
"260";"Cyprus";2005;15039,3
"261";"Cyprus";2006;16263,8
"262";"Cyprus";2007;17591
"263";"Cyprus";2008;19009,6
"264";"Cyprus";2009;18675,5
"265";"Cyprus";2010;19410
"266";"Cyprus";2011;19803
"267";"Cyprus";2012;19440,8
"268";"Cyprus";2013;17995
"269";"Cyprus";2014;17408,5
"270";"Cyprus";2015;17826,9
"271";"Cyprus";2016;18872,9
"272";"Cyprus";2017;20039,7
"273";"Cyprus";2018;21137,8
"274";"Latvia";1998;6384,2
"275";"Latvia";1999;7032
"276";"Latvia";2000;8605,6
"277";"Latvia";2001;9343,4
"278";"Latvia";2002;10139,9
"279";"Latvia";2003;10463,7
"280";"Latvia";2004;11658,7
"281";"Latvia";2005;13715,6
"282";"Latvia";2006;17255,9
"283";"Latvia";2007;22676,8
"284";"Latvia";2008;24397,2
"285";"Latvia";2009;18807,4
"286";"Latvia";2010;17817,7
"287";"Latvia";2011;20218,7
"288";"Latvia";2012;22098,2
"289";"Latvia";2013;22845,4
"290";"Latvia";2014;23654,2
"291";"Latvia";2015;24426
"292";"Latvia";2016;25072,6
"293";"Latvia";2017;26797,8
"294";"Latvia";2018;29155
"295";"Lithuania";1998;10026,4
"296";"Lithuania";1999;10293,5
"297";"Lithuania";2000;12491,3
"298";"Lithuania";2001;13681,4
"299";"Lithuania";2002;15173
"300";"Lithuania";2003;16668,7
"301";"Lithuania";2004;18237,4
"302";"Lithuania";2005;21002,4
"303";"Lithuania";2006;24079,2
"304";"Lithuania";2007;29040,7
"305";"Lithuania";2008;32696,3
"306";"Lithuania";2009;26934,8
"307";"Lithuania";2010;27955,3
"308";"Lithuania";2011;31233,7
"309";"Lithuania";2012;33331,7
"310";"Lithuania";2013;34985
"311";"Lithuania";2014;36544,8
"312";"Lithuania";2015;37321,8
"313";"Lithuania";2016;38893,4
"314";"Lithuania";2017;42269,4
"315";"Lithuania";2018;45264,4
"316";"Luxembourg";1998;18058,5
"317";"Luxembourg";1999;20870,6
"318";"Luxembourg";2000;23079,4
"319";"Luxembourg";2001;23771,9
"320";"Luxembourg";2002;25094,7
"321";"Luxembourg";2003;26187,8
"322";"Luxembourg";2004;27935,5
"323";"Luxembourg";2005;30031
"324";"Luxembourg";2006;33808,4
"325";"Luxembourg";2007;37178,9
"326";"Luxembourg";2008;38128,6
"327";"Luxembourg";2009;36976,5
"328";"Luxembourg";2010;40177,8
"329";"Luxembourg";2011;43164,6
"330";"Luxembourg";2012;44112,1
"331";"Luxembourg";2013;46499,6
"332";"Luxembourg";2014;49824,5
"333";"Luxembourg";2015;52065,8
"334";"Luxembourg";2016;54867,2
"335";"Luxembourg";2017;56814,2
"336";"Luxembourg";2018;60053,1
"337";"Hungary";1998;43408,6
"338";"Hungary";1999;46040,1
"339";"Hungary";2000;51238,5
"340";"Hungary";2001;60012,9
"341";"Hungary";2002;71756,1
"342";"Hungary";2003;75442,8
"343";"Hungary";2004;83753,7
"344";"Hungary";2005;90905,1
"345";"Hungary";2006;92016,6
"346";"Hungary";2007;102253,3
"347";"Hungary";2008;108215,8
"348";"Hungary";2009;94382,6
"349";"Hungary";2010;98986,8
"350";"Hungary";2011;101552,7
"351";"Hungary";2012;99733,6
"352";"Hungary";2013;102032,3
"353";"Hungary";2014;105905,9
"354";"Hungary";2015;112210,3
"355";"Hungary";2016;115259,2
"356";"Hungary";2017;125603,1
"357";"Hungary";2018;133782,2
"358";"Malta";1998;3550,5
"359";"Malta";1999;3835,1
"360";"Malta";2000;4394,9
"361";"Malta";2001;4541,1
"362";"Malta";2002;4737,2
"363";"Malta";2003;4794,7
"364";"Malta";2004;4867,2
"365";"Malta";2005;5142,1
"366";"Malta";2006;5386,1
"367";"Malta";2007;5757,5
"368";"Malta";2008;6128,7
"369";"Malta";2009;6138,6
"370";"Malta";2010;6599,5
"371";"Malta";2011;6832
"372";"Malta";2012;7168
"373";"Malta";2013;7645,3
"374";"Malta";2014;8508,3
"375";"Malta";2015;9657,9
"376";"Malta";2016;10346,5
"377";"Malta";2017;11302,8
"378";"Malta";2018;12323,8
"379";"Netherlands";1998;391460,9
"380";"Netherlands";1999;419459
"381";"Netherlands";2000;452007
"382";"Netherlands";2001;481881
"383";"Netherlands";2002;501137
"384";"Netherlands";2003;512810
"385";"Netherlands";2004;529286
"386";"Netherlands";2005;550883
"387";"Netherlands";2006;584546
