"";"Drzava";"Leto";"Dolg"
"1";"Belgium";1998;277158,3
"2";"Belgium";1999;279434,2
"3";"Belgium";2000;280866
"4";"Belgium";2001;285965,7
"5";"Belgium";2002;288024,3
"6";"Belgium";2003;285784,2
"7";"Belgium";2004;288327,2
"8";"Belgium";2005;294900,6
"9";"Belgium";2006;297424
"10";"Belgium";2007;299996,7
"11";"Belgium";2008;327620,2
"12";"Belgium";2009;347165,3
"13";"Belgium";2010;364078,1
"14";"Belgium";2011;388934,9
"15";"Belgium";2012;404289,4
"16";"Belgium";2013;413730,2
"17";"Belgium";2014;430185,6
"18";"Belgium";2015;437176,1
"19";"Belgium";2016;450544,7
"20";"Belgium";2017;454112,2
"21";"Belgium";2018;459650,6
"22";"Bulgaria";1998;9125,9
"23";"Bulgaria";1999;9647,5
"24";"Bulgaria";2000;10168,5
"25";"Bulgaria";2001;10269,8
"26";"Bulgaria";2002;8890,2
"27";"Bulgaria";2003;8126,5
"28";"Bulgaria";2004;7526,2
"29";"Bulgaria";2005;6388,6
"30";"Bulgaria";2006;5721
"31";"Bulgaria";2007;5296,9
"32";"Bulgaria";2008;4847,5
"33";"Bulgaria";2009;5111,7
"34";"Bulgaria";2010;5856,1
"35";"Bulgaria";2011;6284,2
"36";"Bulgaria";2012;7004,9
"37";"Bulgaria";2013;7147
"38";"Bulgaria";2014;11618,5
"39";"Bulgaria";2015;11871
"40";"Bulgaria";2016;14243,9
"41";"Bulgaria";2017;13244,8
"42";"Bulgaria";2018;12491
"43";"Czechia";1998;8551,9
"44";"Czechia";1999;9475,2
"45";"Czechia";2000;11567,8
"46";"Czechia";2001;18322,2
"47";"Czechia";2002;22013,9
"48";"Czechia";2003;24540,2
"49";"Czechia";2004;28681,7
"50";"Czechia";2005;31390
"51";"Czechia";2006;35406,7
"52";"Czechia";2007;39608,1
"53";"Czechia";2008;42300,2
"54";"Czechia";2009;49826,8
"55";"Czechia";2010;59062,5
"56";"Czechia";2011;62298,5
"57";"Czechia";2012;71783,6
"58";"Czechia";2013;67102,2
"59";"Czechia";2014;65588,5
"60";"Czechia";2015;67951,6
"61";"Czechia";2016;64945,2
"62";"Czechia";2017;68515,1
"63";"Czechia";2018;67449,7
"64";"Denmark";2000;93084
"65";"Denmark";2001;89464,7
"66";"Denmark";2002;93174,5
"67";"Denmark";2003;89061,4
"68";"Denmark";2004;89394,7
"69";"Denmark";2005;79532,5
"70";"Denmark";2006;71183,3
"71";"Denmark";2007;63755
"72";"Denmark";2008;80547,5
"73";"Denmark";2009;92986,6
"74";"Denmark";2010;103472,9
"75";"Denmark";2011;114452,4
"76";"Denmark";2012;114025,7
"77";"Denmark";2013;113943,4
"78";"Denmark";2014;117801,4
"79";"Denmark";2015;108532,5
"80";"Denmark";2016;105083,1
"81";"Denmark";2017;103810,9
"82";"Denmark";2018;101434,4
"83";"Germany";1998;1199283,7
"84";"Germany";1999;1238568,1
"85";"Germany";2000;1245785
"86";"Germany";2001;1258749
"87";"Germany";2002;1312446,6
"88";"Germany";2003;1400260,9
"89";"Germany";2004;1470586,1
"90";"Germany";2005;1541399,9
"91";"Germany";2006;1591334,4
"92";"Germany";2007;1600016,2
"93";"Germany";2008;1669035
"94";"Germany";2009;1785684,4
"95";"Germany";2010;2110668,5
"96";"Germany";2011;2147549,3
"97";"Germany";2012;2225203,8
"98";"Germany";2013;2210738,9
"99";"Germany";2014;2212280,4
"100";"Germany";2015;2181971,9
"101";"Germany";2016;2165891,1
"102";"Germany";2017;2115396,7
"103";"Germany";2018;2063171,5
"104";"Estonia";1998;302,3
"105";"Estonia";1999;348
"106";"Estonia";2000;315,6
"107";"Estonia";2001;333,4
"108";"Estonia";2002;442,9
"109";"Estonia";2003;489,7
"110";"Estonia";2004;491,4
"111";"Estonia";2005;512,3
"112";"Estonia";2006;595,5
"113";"Estonia";2007;595,2
"114";"Estonia";2008;741,1
"115";"Estonia";2009;995,6
"116";"Estonia";2010;964,4
"117";"Estonia";2011;1011,1
"118";"Estonia";2012;1745,5
"119";"Estonia";2013;1923,7
"120";"Estonia";2014;2108,4
"121";"Estonia";2015;2034,9
"122";"Estonia";2016;1986,8
"123";"Estonia";2017;2176,7
"124";"Estonia";2018;2151,9
"125";"Ireland";1998;41352,7
"126";"Ireland";1999;43212,9
"127";"Ireland";2000;39096,3
"128";"Ireland";2001;40538,4
"129";"Ireland";2002;41538,4
"130";"Ireland";2003;43564,4
"131";"Ireland";2004;44055,8
"132";"Ireland";2005;44379
"133";"Ireland";2006;43692,5
"134";"Ireland";2007;47147,8
"135";"Ireland";2008;79621
"136";"Ireland";2009;104685,5
"137";"Ireland";2010;144229,9
"138";"Ireland";2011;189726,8
"139";"Ireland";2012;210022,3
"140";"Ireland";2013;215337,8
"141";"Ireland";2014;203364,5
"142";"Ireland";2015;201635,1
"143";"Ireland";2016;200710,5
"144";"Ireland";2017;201367,8
"145";"Ireland";2018;206214,4
"146";"Greece";1998;126131,3
"147";"Greece";1999;136512,5
"148";"Greece";2000;148217
"149";"Greece";2001;162971
