"";"Drzava";"Leto";"Pobrani.davki"
"1";"Belgium";1998;5985,54
"2";"Belgium";1999;6283,8
"3";"Belgium";2000;6167
"4";"Belgium";2001;6320,6
"5";"Belgium";2002;6393,1
"6";"Belgium";2003;6729,3
"7";"Belgium";2004;7369,8
"8";"Belgium";2005;7632,9
"9";"Belgium";2006;7401,8
"10";"Belgium";2007;7669,7
"11";"Belgium";2008;7570,2
"12";"Belgium";2009;7606,9
"13";"Belgium";2010;8067,5
"14";"Belgium";2011;8529,3
"15";"Belgium";2012;8313,7
"16";"Belgium";2013;8129
"17";"Belgium";2014;8337,3
"18";"Belgium";2015;8659,4
"19";"Belgium";2016;9374,9
"20";"Belgium";2017;9826,7
"21";"Bulgaria";1998;258,29
"22";"Bulgaria";1999;298,73
"23";"Bulgaria";2000;372,45
"24";"Bulgaria";2001;394,98
"25";"Bulgaria";2002;398,56
"26";"Bulgaria";2003;542,07
"27";"Bulgaria";2004;647,49
"28";"Bulgaria";2005;696,72
"29";"Bulgaria";2006;769,11
"30";"Bulgaria";2007;1036,18
"31";"Bulgaria";2008;1221,77
"32";"Bulgaria";2009;1062,89
"33";"Bulgaria";2010;1051,56
"34";"Bulgaria";2011;1107,66
"35";"Bulgaria";2012;1119,38
"36";"Bulgaria";2013;1174,6
"37";"Bulgaria";2014;1167,82
"38";"Bulgaria";2015;1315,89
"39";"Bulgaria";2016;1334,32
"40";"Bulgaria";2017;1383,89
"41";"Czechia";1998;1299,15
"42";"Czechia";1999;1426,74
"43";"Czechia";2000;1511,42
"44";"Czechia";2001;1762,01
"45";"Czechia";2002;1979,81
"46";"Czechia";2003;2068,61
"47";"Czechia";2004;2335,42
"48";"Czechia";2005;2708,41
"49";"Czechia";2006;2950,22
"50";"Czechia";2007;3198,7
"51";"Czechia";2008;3643,79
"52";"Czechia";2009;3427,58
"53";"Czechia";2010;3577,44
"54";"Czechia";2011;3846,08
"55";"Czechia";2012;3606,43
"56";"Czechia";2013;3359,89
"57";"Czechia";2014;3281,3
"58";"Czechia";2015;3490,56
"59";"Czechia";2016;3725,42
"60";"Czechia";2017;3974,74
"61";"Denmark";1998;8321,5
"62";"Denmark";1999;8854,85
"63";"Denmark";2000;8615,79
"64";"Denmark";2001;8868,55
"65";"Denmark";2002;9489,59
"66";"Denmark";2003;9290,52
"67";"Denmark";2004;10097,39
"68";"Denmark";2005;10474,85
"69";"Denmark";2006;10547,36
"70";"Denmark";2007;11063,83
"71";"Denmark";2008;10077,05
"72";"Denmark";2009;9236,04
"73";"Denmark";2010;9768,83
"74";"Denmark";2011;9957,41
"75";"Denmark";2012;10098,54
"76";"Denmark";2013;10712,52
"77";"Denmark";2014;10621,61
"78";"Denmark";2015;10847,43
"79";"Denmark";2016;11065,4
"80";"Denmark";2017;10878,28
"81";"Germany";1998;41826,61
"82";"Germany";1999;46367
"83";"Germany";2000;49547
"84";"Germany";2001;53812
"85";"Germany";2002;54517
"86";"Germany";2003;57833
