"";"Drzava";"Leto";"Sector.gospodarstva";"skupne.emisije"
"1";"Austria";1998;"Accommodation and food service activities";0
"2";"Austria";1998;"Activities of extraterritorial organisations and bodies";0
"3";"Austria";1998;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0
"4";"Austria";1998;"Administrative and support service activities";0
"5";"Austria";1998;"Agriculture, forestry and fishing";0
"6";"Austria";1998;"Arts, entertainment and recreation";0
"7";"Austria";1998;"Construction";0
"8";"Austria";1998;"Education";0
"9";"Austria";1998;"Electricity, gas, steam and air conditioning supply";0
"10";"Austria";1998;"Financial and insurance activities";0
"11";"Austria";1998;"Human health and social work activities";0
"12";"Austria";1998;"Information and communication";0
"13";"Austria";1998;"Manufacturing";0
"14";"Austria";1998;"Mining and quarrying";0
"15";"Austria";1998;"Other service activities";0
"16";"Austria";1998;"Professional, scientific and technical activities";0
"17";"Austria";1998;"Public administration and defence; compulsory social security";0
"18";"Austria";1998;"Real estate activities";0
"19";"Austria";1998;"Total - all NACE activities";0
"20";"Austria";1998;"Transportation and storage";0
"21";"Austria";1998;"Water supply; sewerage, waste management and remediation activities";0
"22";"Austria";1998;"Wholesale and retail trade; repair of motor vehicles and motorcycles";0
"23";"Austria";1999;"Accommodation and food service activities";0
"24";"Austria";1999;"Activities of extraterritorial organisations and bodies";0
"25";"Austria";1999;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0
"26";"Austria";1999;"Administrative and support service activities";0
"27";"Austria";1999;"Agriculture, forestry and fishing";0
"28";"Austria";1999;"Arts, entertainment and recreation";0
"29";"Austria";1999;"Construction";0
"30";"Austria";1999;"Education";0
"31";"Austria";1999;"Electricity, gas, steam and air conditioning supply";0
"32";"Austria";1999;"Financial and insurance activities";0
"33";"Austria";1999;"Human health and social work activities";0
"34";"Austria";1999;"Information and communication";0
"35";"Austria";1999;"Manufacturing";0
"36";"Austria";1999;"Mining and quarrying";0
"37";"Austria";1999;"Other service activities";0
"38";"Austria";1999;"Professional, scientific and technical activities";0
"39";"Austria";1999;"Public administration and defence; compulsory social security";0
"40";"Austria";1999;"Real estate activities";0
"41";"Austria";1999;"Total - all NACE activities";0
"42";"Austria";1999;"Transportation and storage";0
"43";"Austria";1999;"Water supply; sewerage, waste management and remediation activities";0
"44";"Austria";1999;"Wholesale and retail trade; repair of motor vehicles and motorcycles";0
"45";"Austria";2000;"Accommodation and food service activities";0
"46";"Austria";2000;"Activities of extraterritorial organisations and bodies";0
"47";"Austria";2000;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0
"48";"Austria";2000;"Administrative and support service activities";0
"49";"Austria";2000;"Agriculture, forestry and fishing";0
"50";"Austria";2000;"Arts, entertainment and recreation";0
"51";"Austria";2000;"Construction";0
"52";"Austria";2000;"Education";0
"53";"Austria";2000;"Electricity, gas, steam and air conditioning supply";0
"54";"Austria";2000;"Financial and insurance activities";0
"55";"Austria";2000;"Human health and social work activities";0
"56";"Austria";2000;"Information and communication";0
"57";"Austria";2000;"Manufacturing";0
"58";"Austria";2000;"Mining and quarrying";0
"59";"Austria";2000;"Other service activities";0
"60";"Austria";2000;"Professional, scientific and technical activities";0
"61";"Austria";2000;"Public administration and defence; compulsory social security";0
"62";"Austria";2000;"Real estate activities";0
"63";"Austria";2000;"Total - all NACE activities";0
"64";"Austria";2000;"Transportation and storage";0
"65";"Austria";2000;"Water supply; sewerage, waste management and remediation activities";0
"66";"Austria";2000;"Wholesale and retail trade; repair of motor vehicles and motorcycles";0
"67";"Austria";2001;"Accommodation and food service activities";0
"68";"Austria";2001;"Activities of extraterritorial organisations and bodies";0
"69";"Austria";2001;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0
"70";"Austria";2001;"Administrative and support service activities";0
"71";"Austria";2001;"Agriculture, forestry and fishing";0
"72";"Austria";2001;"Arts, entertainment and recreation";0
"73";"Austria";2001;"Construction";0
"74";"Austria";2001;"Education";0
"75";"Austria";2001;"Electricity, gas, steam and air conditioning supply";0
"76";"Austria";2001;"Financial and insurance activities";0
"77";"Austria";2001;"Human health and social work activities";0
"78";"Austria";2001;"Information and communication";0
"79";"Austria";2001;"Manufacturing";0
"80";"Austria";2001;"Mining and quarrying";0
"81";"Austria";2001;"Other service activities";0
"82";"Austria";2001;"Professional, scientific and technical activities";0
"83";"Austria";2001;"Public administration and defence; compulsory social security";0
"84";"Austria";2001;"Real estate activities";0
"85";"Austria";2001;"Total - all NACE activities";0
"86";"Austria";2001;"Transportation and storage";0
"87";"Austria";2001;"Water supply; sewerage, waste management and remediation activities";0
"88";"Austria";2001;"Wholesale and retail trade; repair of motor vehicles and motorcycles";0
"89";"Austria";2002;"Accommodation and food service activities";0
"90";"Austria";2002;"Activities of extraterritorial organisations and bodies";0
"91";"Austria";2002;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0
"92";"Austria";2002;"Administrative and support service activities";0
"93";"Austria";2002;"Agriculture, forestry and fishing";0
"94";"Austria";2002;"Arts, entertainment and recreation";0
"95";"Austria";2002;"Construction";0
"96";"Austria";2002;"Education";0
"97";"Austria";2002;"Electricity, gas, steam and air conditioning supply";0
"98";"Austria";2002;"Financial and insurance activities";0
"99";"Austria";2002;"Human health and social work activities";0
"100";"Austria";2002;"Information and communication";0
"101";"Austria";2002;"Manufacturing";0
"102";"Austria";2002;"Mining and quarrying";0
"103";"Austria";2002;"Other service activities";0
"104";"Austria";2002;"Professional, scientific and technical activities";0
"105";"Austria";2002;"Public administration and defence; compulsory social security";0
"106";"Austria";2002;"Real estate activities";0
"107";"Austria";2002;"Total - all NACE activities";0
"108";"Austria";2002;"Transportation and storage";0
"109";"Austria";2002;"Water supply; sewerage, waste management and remediation activities";0
"110";"Austria";2002;"Wholesale and retail trade; repair of motor vehicles and motorcycles";0
"111";"Austria";2003;"Accommodation and food service activities";0
"112";"Austria";2003;"Activities of extraterritorial organisations and bodies";0
"113";"Austria";2003;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0
"114";"Austria";2003;"Administrative and support service activities";0
"115";"Austria";2003;"Agriculture, forestry and fishing";0
"116";"Austria";2003;"Arts, entertainment and recreation";0
"117";"Austria";2003;"Construction";0
"118";"Austria";2003;"Education";0
"119";"Austria";2003;"Electricity, gas, steam and air conditioning supply";0
"120";"Austria";2003;"Financial and insurance activities";0
"121";"Austria";2003;"Human health and social work activities";0
"122";"Austria";2003;"Information and communication";0
"123";"Austria";2003;"Manufacturing";0
"124";"Austria";2003;"Mining and quarrying";0
"125";"Austria";2003;"Other service activities";0
"126";"Austria";2003;"Professional, scientific and technical activities";0
"127";"Austria";2003;"Public administration and defence; compulsory social security";0
"128";"Austria";2003;"Real estate activities";0
"129";"Austria";2003;"Total - all NACE activities";0
"130";"Austria";2003;"Transportation and storage";0
"131";"Austria";2003;"Water supply; sewerage, waste management and remediation activities";0
"132";"Austria";2003;"Wholesale and retail trade; repair of motor vehicles and motorcycles";0
"133";"Austria";2004;"Accommodation and food service activities";0
"134";"Austria";2004;"Activities of extraterritorial organisations and bodies";0
"135";"Austria";2004;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0
"136";"Austria";2004;"Administrative and support service activities";0
"137";"Austria";2004;"Agriculture, forestry and fishing";0
"138";"Austria";2004;"Arts, entertainment and recreation";0
"139";"Austria";2004;"Construction";0
"140";"Austria";2004;"Education";0
"141";"Austria";2004;"Electricity, gas, steam and air conditioning supply";0
"142";"Austria";2004;"Financial and insurance activities";0
"143";"Austria";2004;"Human health and social work activities";0
"144";"Austria";2004;"Information and communication";0
"145";"Austria";2004;"Manufacturing";0
"146";"Austria";2004;"Mining and quarrying";0
"147";"Austria";2004;"Other service activities";0
"148";"Austria";2004;"Professional, scientific and technical activities";0
"149";"Austria";2004;"Public administration and defence; compulsory social security";0
"150";"Austria";2004;"Real estate activities";0
"151";"Austria";2004;"Total - all NACE activities";0
"152";"Austria";2004;"Transportation and storage";0
"153";"Austria";2004;"Water supply; sewerage, waste management and remediation activities";0
"154";"Austria";2004;"Wholesale and retail trade; repair of motor vehicles and motorcycles";0
"155";"Austria";2005;"Accommodation and food service activities";0
"156";"Austria";2005;"Activities of extraterritorial organisations and bodies";0
"157";"Austria";2005;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0
"158";"Austria";2005;"Administrative and support service activities";0
"159";"Austria";2005;"Agriculture, forestry and fishing";0
"160";"Austria";2005;"Arts, entertainment and recreation";0
"161";"Austria";2005;"Construction";0
"162";"Austria";2005;"Education";0
"163";"Austria";2005;"Electricity, gas, steam and air conditioning supply";0
"164";"Austria";2005;"Financial and insurance activities";0
"165";"Austria";2005;"Human health and social work activities";0
"166";"Austria";2005;"Information and communication";0
"167";"Austria";2005;"Manufacturing";0
"168";"Austria";2005;"Mining and quarrying";0
"169";"Austria";2005;"Other service activities";0
"170";"Austria";2005;"Professional, scientific and technical activities";0
"171";"Austria";2005;"Public administration and defence; compulsory social security";0
"172";"Austria";2005;"Real estate activities";0
"173";"Austria";2005;"Total - all NACE activities";0
"174";"Austria";2005;"Transportation and storage";0
"175";"Austria";2005;"Water supply; sewerage, waste management and remediation activities";0
"176";"Austria";2005;"Wholesale and retail trade; repair of motor vehicles and motorcycles";0
"177";"Austria";2006;"Accommodation and food service activities";0
"178";"Austria";2006;"Activities of extraterritorial organisations and bodies";0
"179";"Austria";2006;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0
"180";"Austria";2006;"Administrative and support service activities";0
"181";"Austria";2006;"Agriculture, forestry and fishing";0
"182";"Austria";2006;"Arts, entertainment and recreation";0
"183";"Austria";2006;"Construction";0
"184";"Austria";2006;"Education";0
"185";"Austria";2006;"Electricity, gas, steam and air conditioning supply";0
"186";"Austria";2006;"Financial and insurance activities";0
"187";"Austria";2006;"Human health and social work activities";0
"188";"Austria";2006;"Information and communication";0
"189";"Austria";2006;"Manufacturing";0
"190";"Austria";2006;"Mining and quarrying";0
"191";"Austria";2006;"Other service activities";0
"192";"Austria";2006;"Professional, scientific and technical activities";0
"193";"Austria";2006;"Public administration and defence; compulsory social security";0
"194";"Austria";2006;"Real estate activities";0
"195";"Austria";2006;"Total - all NACE activities";0
"196";"Austria";2006;"Transportation and storage";0
"197";"Austria";2006;"Water supply; sewerage, waste management and remediation activities";0
"198";"Austria";2006;"Wholesale and retail trade; repair of motor vehicles and motorcycles";0
"199";"Austria";2007;"Accommodation and food service activities";0
"200";"Austria";2007;"Activities of extraterritorial organisations and bodies";0
"201";"Austria";2007;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0
"202";"Austria";2007;"Administrative and support service activities";0
"203";"Austria";2007;"Agriculture, forestry and fishing";0
"204";"Austria";2007;"Arts, entertainment and recreation";0
"205";"Austria";2007;"Construction";0
"206";"Austria";2007;"Education";0
"207";"Austria";2007;"Electricity, gas, steam and air conditioning supply";0
"208";"Austria";2007;"Financial and insurance activities";0
"209";"Austria";2007;"Human health and social work activities";0
"210";"Austria";2007;"Information and communication";0
"211";"Austria";2007;"Manufacturing";0
"212";"Austria";2007;"Mining and quarrying";0
"213";"Austria";2007;"Other service activities";0
"214";"Austria";2007;"Professional, scientific and technical activities";0
"215";"Austria";2007;"Public administration and defence; compulsory social security";0
"216";"Austria";2007;"Real estate activities";0
"217";"Austria";2007;"Total - all NACE activities";0
"218";"Austria";2007;"Transportation and storage";0
"219";"Austria";2007;"Water supply; sewerage, waste management and remediation activities";0
"220";"Austria";2007;"Wholesale and retail trade; repair of motor vehicles and motorcycles";0
"221";"Austria";2008;"Accommodation and food service activities";640829,21
"222";"Austria";2008;"Activities of extraterritorial organisations and bodies";0
"223";"Austria";2008;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0
"224";"Austria";2008;"Administrative and support service activities";278390,58
"225";"Austria";2008;"Agriculture, forestry and fishing";1886017,76
"226";"Austria";2008;"Arts, entertainment and recreation";278342,92
"227";"Austria";2008;"Construction";2930806,64
"228";"Austria";2008;"Education";1027692,05
"229";"Austria";2008;"Electricity, gas, steam and air conditioning supply";10600512,94
"230";"Austria";2008;"Financial and insurance activities";124719,34
"231";"Austria";2008;"Human health and social work activities";349396,63
"232";"Austria";2008;"Information and communication";194422,94
"233";"Austria";2008;"Manufacturing";28221479,25
"234";"Austria";2008;"Mining and quarrying";932817,36
"235";"Austria";2008;"Other service activities";434713,24
